contrato_id,data_venda,modalidade_contrato,plano,visita
80017,2024-04-10,pessoa física,"plano mensal - r$296,00",Sem Visita
79845,2024-04-10,pessoa física,"plano light - r$148,00",Livance - Botafogo
79791,2024-04-10,pessoa física,"plano light - r$148,00",Visita Virtual
79723,2024-04-10,pessoa física,"plano anual - r$246,00",Livance - Barra da Tijuca
79265,2024-04-10,pessoa física,"plano anual - r$246,00",Livance - Brigadeiro Psico
78223,2024-04-10,pessoa física,"plano light - r$148,00",Visita Virtual
77980,2024-04-10,pessoa física,"plano light - r$148,00",Visita Virtual
76453,2024-04-10,pessoa física,"plano light - r$148,00",Visita Virtual
76110,2024-04-10,pessoa física,"plano light - r$148,00",Livance - Market Place
75898,2024-04-10,pessoa física,"plano light anual - r$178,00",Livance - Paulista
75348,2024-04-10,pessoa física,"plano light - r$178,00",Livance - Market Place
39842,2024-04-10,pessoa física,"plano light - r$148,00",Livance - Alphaville
80353,2024-04-11,pessoa física,"plano light - r$148,00",Sem Visita
80204,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Brigadeiro 2
80123,2024-04-11,pessoa física,"plano anual - r$246,00",Livance - Itaim
80029,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Pinheiros
79997,2024-04-11,pessoa física,"plano light anual - r$178,00",Livance - Botafogo
79889,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
79803,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
79715,2024-04-11,pessoa física,"plano mensal - r$296,00",Sem Visita
79710,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
79601,2024-04-11,pessoa física,"plano anual - r$246,00",Visita Virtual
79472,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
79316,2024-04-11,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
78950,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Brigadeiro 2
78548,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
77622,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Campinas
77382,2024-04-11,pessoa física,"plano mensal - r$346,00",Livance - Botafogo
74571,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
68613,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Paulista
55742,2024-04-11,pessoa física,"plano light - r$148,00",Visita Virtual
28936,2024-04-11,pessoa física,"plano light - r$148,00",Livance - Campinas
80651,2024-04-12,pessoa física,"plano light - r$148,00",Sem Visita
80645,2024-04-12,pessoa física,"plano light - r$148,00",Sem Visita
80534,2024-04-12,pessoa física,"plano mensal - r$296,00",Sem Visita
80459,2024-04-12,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
80401,2024-04-12,pessoa física,"plano light - r$148,00",Sem Visita
80359,2024-04-12,pessoa física,"plano mensal - r$296,00",Sem Visita
80164,2024-04-12,pessoa física,"plano light - r$148,00",Livance - Botafogo
80136,2024-04-12,pessoa física,"plano light - r$148,00",Livance - Market Place
80080,2024-04-12,pessoa física,"plano light - r$148,00",Sem Visita
80071,2024-04-12,pessoa física,"plano mensal - r$296,00",Livance - Botafogo
80054,2024-04-12,pessoa física,"plano mensal - r$296,00",Livance - Alphaville
79944,2024-04-12,pessoa física,"plano light - r$148,00",Visita Virtual
79782,2024-04-12,pessoa física,"plano anual - r$246,00",Livance - Campinas
79717,2024-04-12,pessoa física,"plano light anual - r$123,00",Sem Visita
79504,2024-04-12,pessoa física,"plano light anual - r$178,00",Visita Virtual
79189,2024-04-12,pessoa jurídica,"plano anual - r$246,00",Livance - Market Place
79065,2024-04-12,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
78782,2024-04-12,pessoa física,"plano light - r$148,00",Livance - Tatuapé
78287,2024-04-12,pessoa física,"plano light anual - r$178,00",Visita Virtual
76398,2024-04-12,pessoa física,"plano anual - r$246,00",Livance - Angélica
74709,2024-04-12,pessoa jurídica,"plano anual - r$246,00",Livance - Market Place
71235,2024-04-12,pessoa jurídica,"plano anual - r$246,00",Visita Virtual
68224,2024-04-12,pessoa física,"plano light - r$148,00",Livance - Barra da Tijuca
49851,2024-04-12,pessoa física,"plano mensal - r$296,00",Livance - Paulista
80657,2024-04-13,pessoa física,"plano light - r$148,00",Livance - Campinas
80363,2024-04-13,pessoa física,"plano light - r$148,00",Livance - Barra da Tijuca
80105,2024-04-13,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
79966,2024-04-13,pessoa física,"plano light - r$148,00",Livance - Tatuapé
79769,2024-04-13,pessoa física,"plano anual - r$246,00",Livance - Paulista
76647,2024-04-13,pessoa física,"plano mensal - r$296,00",Livance - Paulista
74599,2024-04-13,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
68079,2024-04-13,pessoa física,"plano mensal - r$296,00",Visita Virtual
61106,2024-04-13,pessoa física,"plano light anual - r$123,00",Livance - Paulista
80833,2024-04-15,pessoa física,"plano anual - r$246,00",Livance - Brigadeiro 2
80186,2024-04-15,pessoa física,"plano light - r$148,00",Sem Visita
80184,2024-04-15,pessoa física,"plano anual - r$246,00",Livance - Vila Olímpia
80064,2024-04-15,pessoa física,"plano mensal - r$296,00",Livance - Itaim
79996,2024-04-15,pessoa física,"plano light - r$148,00",Livance - Botafogo
79589,2024-04-15,pessoa física,"plano light - r$148,00",Visita Virtual
78513,2024-04-15,pessoa física,"plano anual - r$246,00",Livance - Tatuapé
78455,2024-04-15,pessoa física,"plano light anual - r$178,00",Livance - Botafogo
78377,2024-04-15,pessoa física,"plano light anual - r$178,00",Livance - Barra da Tijuca
77951,2024-04-15,pessoa física,"plano light - r$148,00",Visita Virtual
77799,2024-04-15,pessoa física,"plano light - r$246,00",Livance - Paulista
76375,2024-04-15,pessoa física,"plano light - r$148,00",Visita Virtual
71629,2024-04-15,pessoa física,"plano light anual - r$123,00",Visita Virtual
65204,2024-04-15,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
65195,2024-04-15,pessoa física,"plano anual - r$246,00",Livance - Alphaville
81096,2024-04-16,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
81085,2024-04-16,pessoa física,"plano anual - r$246,00",Sem Visita
81062,2024-04-16,pessoa física,"plano light - r$148,00",Sem Visita
81036,2024-04-16,pessoa física,"plano mensal - r$296,00",Sem Visita
80987,2024-04-16,pessoa física,"plano light - r$148,00",Sem Visita
80965,2024-04-16,pessoa física,"plano anual - r$246,00",Sem Visita
80964,2024-04-16,pessoa física,"plano mensal - r$296,00",Sem Visita
80904,2024-04-16,pessoa física,"plano light anual - r$178,00",Livance - Barra da Tijuca
80895,2024-04-16,pessoa física,"plano light anual - r$123,00",Sem Visita
80851,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Pinheiros
80826,2024-04-16,pessoa física,"plano light - r$148,00",Sem Visita
80801,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Market Place
80780,2024-04-16,pessoa física,"plano mensal - r$296,00",Livance - Campinas
80692,2024-04-16,pessoa física,"plano anual - r$246,00",Livance - Vila Madalena
80603,2024-04-16,pessoa física,"plano mensal - r$296,00",Sem Visita
80415,2024-04-16,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
80357,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Pinheiros
80348,2024-04-16,pessoa física,"plano mensal - r$296,00",Visita Virtual
80102,2024-04-16,pessoa física,"plano light - r$148,00",Sem Visita
79817,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Paulista
79071,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Brigadeiro 2
78920,2024-04-16,pessoa física,"plano anual - r$246,00",Visita Virtual
77367,2024-04-16,pessoa física,"plano anual - r$246,00",Livance - Pinheiros
75482,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Paulista
72815,2024-04-16,pessoa física,"plano anual - r$246,00",Livance - Barra da Tijuca
67387,2024-04-16,pessoa física,"plano anual - r$246,00",Sem Visita
33756,2024-04-16,pessoa física,"plano light - r$148,00",Livance - Alphaville
81217,2024-04-17,pessoa física,"plano mensal - r$296,00",Sem Visita
81199,2024-04-17,pessoa física,"plano light anual - r$123,00",Visita Virtual
81195,2024-04-17,pessoa física,"plano light - r$148,00",Sem Visita
81192,2024-04-17,pessoa física,"plano anual - r$246,00",Sem Visita
81180,2024-04-17,pessoa física,"plano anual - r$246,00",Livance - Barra da Tijuca
81175,2024-04-17,pessoa física,"plano mensal - r$296,00",Sem Visita
81158,2024-04-17,pessoa física,"plano light - r$148,00",Sem Visita
81080,2024-04-17,pessoa física,"plano anual - r$246,00",Livance - Campinas
80971,2024-04-17,pessoa física,"plano light - r$148,00",Sem Visita
80846,2024-04-17,pessoa física,"plano anual - r$246,00",Visita Virtual
80805,2024-04-17,pessoa jurídica,"plano light - r$148,00",Sem Visita
80799,2024-04-17,pessoa física,"plano mensal - r$296,00",Livance - Botafogo
80730,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Alphaville
80711,2024-04-17,pessoa física,"plano anual - r$246,00",Livance - Alphaville
80685,2024-04-17,pessoa física,"plano light anual - r$123,00",Livance - Vila Madalena
80589,2024-04-17,pessoa jurídica,"plano anual - r$246,00",Visita Virtual
80521,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Pinheiros
80451,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Market Place
80311,2024-04-17,pessoa física,"plano mensal - r$296,00",Visita Virtual
80269,2024-04-17,pessoa física,"plano light - r$148,00",Visita Virtual
80206,2024-04-17,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
80044,2024-04-17,pessoa física,"plano mensal - r$296,00",Sem Visita
79636,2024-04-17,pessoa física,"plano light - r$148,00",Visita Virtual
79358,2024-04-17,pessoa física,"plano anual - r$246,00",Livance - Pinheiros
79225,2024-04-17,pessoa física,"plano anual - r$246,00",Livance - Campinas
79215,2024-04-17,pessoa física,"plano light anual - r$123,00",Livance - Campinas
77723,2024-04-17,pessoa física,"plano mensal - r$296,00",Sem Visita
77688,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Barra da Tijuca
75792,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Market Place
73253,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Vila Madalena
73005,2024-04-17,pessoa física,"plano anual - r$246,00",Sem Visita
69362,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Paulista
69022,2024-04-17,pessoa física,"plano light - r$148,00",Livance - Botafogo
81356,2024-04-18,pessoa física,"plano light - r$148,00",Sem Visita
81330,2024-04-18,pessoa física,"plano light - r$148,00",Sem Visita
81240,2024-04-18,pessoa física,"plano mensal - r$296,00",Livance - Barra da Tijuca
80732,2024-04-18,pessoa física,"plano mensal - r$296,00",Livance - Botafogo
80370,2024-04-18,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
80354,2024-04-18,pessoa física,"plano mensal - r$346,00",Sem Visita
79342,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Alphaville
78641,2024-04-18,pessoa física,"plano light anual - r$123,00",Livance - Campinas
78265,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Tatuapé
75882,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Botafogo
72748,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Paulista
68398,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Barra da Tijuca
63200,2024-04-18,pessoa física,"plano anual - r$246,00",Sem Visita
55602,2024-04-18,pessoa física,"plano light anual - r$123,00",Não Informado
51640,2024-04-18,pessoa física,"plano mensal - r$346,00",Sem Visita
49710,2024-04-18,pessoa física,"plano light - r$148,00",Visita Virtual
48457,2024-04-18,pessoa física,"plano anual - r$246,00",Livance - Brigadeiro
15256,2024-04-18,pessoa física,"plano light - r$148,00",Livance - Vila Olímpia
81452,2024-04-19,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
81423,2024-04-19,pessoa física,"plano mensal - r$296,00",Sem Visita
81338,2024-04-19,pessoa física,"plano light - r$148,00",Visita Virtual
81263,2024-04-19,pessoa física,"plano mensal - r$296,00",Visita Virtual
80915,2024-04-19,pessoa física,"plano light - r$148,00",Livance - Brigadeiro 2
80673,2024-04-19,pessoa física,"plano mensal - r$296,00",Livance - Brigadeiro
79861,2024-04-19,pessoa física,"plano light - r$148,00",Livance - Brigadeiro Psico
79800,2024-04-19,pessoa jurídica,"plano anual - r$246,00",Sem Visita
79718,2024-04-19,pessoa física,"plano light - r$148,00",Livance - Botafogo
78735,2024-04-19,pessoa física,"plano anual - r$246,00",Livance - Tatuapé
77702,2024-04-19,pessoa física,"plano light - r$148,00",Livance - Vila Madalena
76431,2024-04-19,pessoa física,"plano light anual - r$178,00",Sem Visita
36308,2024-04-19,pessoa física,"plano light anual - r$178,00",Visita Virtual
81546,2024-04-20,pessoa física,"plano light - r$148,00",Livance - Paulista
81409,2024-04-20,pessoa física,"plano light - r$148,00",Livance - Tatuapé
80525,2024-04-20,pessoa física,"plano mensal - r$296,00",Livance - Paulista
81579,2024-04-21,pessoa física,"plano mensal - r$296,00",Sem Visita
81780,2024-04-22,pessoa física,"plano light - r$148,00",Sem Visita
81730,2024-04-22,pessoa física,"plano light - r$148,00",Sem Visita
81667,2024-04-22,pessoa física,"plano light - r$148,00",Sem Visita
81613,2024-04-22,pessoa física,"plano light - r$148,00",Sem Visita
81470,2024-04-22,pessoa física,"plano anual - r$246,00",Visita Virtual
81447,2024-04-22,pessoa física,"plano light - r$148,00",Visita Virtual
81429,2024-04-22,pessoa física,"plano light anual - r$178,00",Visita Virtual
81109,2024-04-22,pessoa física,"plano light - r$148,00",Sem Visita
81025,2024-04-22,pessoa física,"plano light - r$148,00",Livance - Tatuapé
80996,2024-04-22,pessoa física,"plano mensal - r$296,00",Sem Visita
79781,2024-04-22,pessoa física,"plano light - r$148,00",Livance - Botafogo
77689,2024-04-22,pessoa física,"plano anual - r$246,00",Livance - Campinas
75524,2024-04-22,pessoa física,"plano mensal - r$296,00",Sem Visita
75195,2024-04-22,pessoa física,"plano light - r$246,00",Visita Virtual
74790,2024-04-22,pessoa física,"plano mensal - r$296,00",Livance - Barra da Tijuca
70582,2024-04-22,pessoa física,"plano light - r$148,00",Livance - Botafogo
69779,2024-04-22,pessoa física,"plano anual - r$246,00",Livance - Market Place
45926,2024-04-22,pessoa física,"plano light anual - r$178,00",Sem Visita
81911,2024-04-23,pessoa física,"plano light anual - r$123,00",Sem Visita
81874,2024-04-23,pessoa física,"plano mensal - r$296,00",Sem Visita
81860,2024-04-23,pessoa física,"plano light anual - r$123,00",Livance - Market Place
81801,2024-04-23,pessoa física,"plano light - r$148,00",Sem Visita
81692,2024-04-23,pessoa física,"plano anual - r$246,00",Visita Virtual
81675,2024-04-23,pessoa física,"plano mensal - r$296,00",Livance - Alphaville
81672,2024-04-23,pessoa física,"plano light - r$148,00",Sem Visita
